,Degree,Closeness,Betweenness
0,22,0.32739588517917084,0.04999122830865928
1,25,0.3325808878856283,0.01493389097754633
2,22,0.3026782823173254,0.007996995288086638
3,32,0.33819191513523245,0.07531047456217993
4,29,0.3186432495204792,0.0293654567004252
5,21,0.3181834468516184,0.02693470544324904
6,31,0.3597082033738525,0.05501199181867523
7,21,0.34186221498941327,0.04252166779540013
8,21,0.3434597019753451,0.04194742110539217
9,25,0.34917043336210857,0.017276295883173347
10,25,0.30330279046516034,0.04947620964938342
11,21,0.3181834468516184,0.023826060937651432
12,29,0.3259440187260481,0.04836181210776831
13,23,0.3147767718317938,0.0533088245211423
14,24,0.33459958826733166,0.0196975684274711
15,26,0.34861838524612104,0.02982220881839646
16,23,0.3456130543388269,0.013321563040218715
17,25,0.3389717581370815,0.045780292956090755
18,21,0.29797449820023186,0.008327456766158734
19,11,0.3156780653803458,0.005445860326815906
20,27,0.3310827757780354,0.039802682526373936
21,7,0.2834204738665444,6.605201798403235e-06
22,8,0.28636510216645655,0.00045458302685008996
23,8,0.3022633703470481,0.0007349065525996838
24,11,0.3197985912518805,0.002927893060864944
25,7,0.31500161238310226,0.0030802815962307916
26,8,0.3116623726758609,0.004779251836452545
27,2,0.2732355993409809,0.0
28,27,0.3629648208529573,0.0783960577411876
29,2,0.2798237673453954,0.0016431265656232036
30,8,0.311882784537725,0.0015569034083744023
31,1,0.2555053634625395,0.0
32,24,0.3431924181605783,0.04269415472336218
33,29,0.3071046360280941,0.034567484869363826
34,25,0.33536293333562217,0.04216720580969516
35,22,0.3266683387676616,0.0427038810581355
36,32,0.29302475570521136,0.023552487566526763
37,1,0.24664555779437536,0.0
38,4,0.29109059890187666,0.00027744653089208907
39,30,0.3096925964440612,0.048283506307112686
40,25,0.28823676950087784,0.008984583880204004
41,25,0.2886140427593869,0.028244831003164782
42,9,0.29837771132364216,0.004372801025713072
43,24,0.27155311412336397,0.057349671717972894
44,8,0.29166815961398357,9.515842718158444e-05
45,7,0.2720556800347582,0.003533175987936261
46,5,0.27876248883460375,0.0
47,7,0.29051532103843425,7.39211178336212e-05
48,5,0.27272866872995866,0.0
49,5,0.2708859074547562,0.002931846994939878
50,4,0.27222361563971803,0.0
51,4,0.25669514396760373,0.0
52,2,0.23432638540719614,0.0
53,2,0.24217586893813461,7.868760632988824e-05
54,2,0.25956577830273286,0.0
55,2,0.2625013436525852,0.0
56,1,0.25272335663973816,0.0
57,1,0.25272335663973816,0.0
58,1,0.25272335663973816,0.0
59,2,0.2625013436525852,0.0
60,1,0.25272335663973816,0.0
61,2,0.2580469615777315,0.0
62,2,0.2625013436525852,0.0
63,3,0.2712191004528555,0.0005077648772383425
64,7,0.29341467553981576,0.006028337904585097
65,3,0.2594130925507901,0.00017110475846122944
66,3,0.2594130925507901,0.00017110475846122944
67,5,0.280535787109633,0.00023570603866484525
68,3,0.28470126361287484,0.00029153949588940165
69,2,0.26234518580389243,0.0007225524042879954
70,3,0.27442579796909966,0.0
71,1,0.24164507251306472,0.0
72,5,0.28636510216645655,0.0009901638853568788
73,2,0.25774532865946415,0.00010104311481385314
74,3,0.2735746013252749,7.006164364737625e-05
75,5,0.2823317908683375,0.0003476338490235917
76,10,0.330834401602658,0.02151980731018102
77,22,0.31658453505839423,0.03256043754937529
78,3,0.25476733526074125,0.0
79,3,0.25476733526074125,0.0
80,35,0.3426590966094352,0.08528898606771812
81,3,0.2583493013101014,0.0
82,1,0.24138054588743466,0.0
83,3,0.25476733526074125,0.0
84,3,0.25476733526074125,0.0
85,2,0.24204295133718065,0.0
86,1,0.24138054588743466,0.0
87,2,0.25417997540999604,0.0
88,6,0.2975723733713516,0.0017915831912726763
89,5,0.2858083326871958,0.005800246489898557
90,33,0.3617737960101256,0.06263624851592954
91,2,0.2867374885151776,0.00025399757203965864
92,1,0.2645484447128633,0.0
93,1,0.2645484447128633,0.0
94,3,0.27649044347106155,3.8852567163551834e-05
95,2,0.2647072372967246,0.0
96,4,0.2832384440182037,0.00039821975231454633
97,2,0.28161063686867377,0.00021133559423562546
98,1,0.25565348251382214,0.0
99,1,0.25565348251382214,0.0
100,33,0.33793276424240853,0.03536973735639429
