artist,song_name,song_info
Rick Ross,Hustlin',"[69.0, 0.502, 0.652, 9.0, -7.224, 1.0, 0.3, 0.0848, 0.0, 0.0675, 0.648, 136.08, 254093.0]"
Rick Ross,Purple Lamborghini with Rick Ross,"[68.0, 0.457, 0.899, 10.0, -2.591, 0.0, 0.132, 0.0019, 0.0, 0.831, 0.298, 147.268, 215510.0]"
Rick Ross,You Only Live Twice with Lil Wayne  Rick Ross,"[67.0, 0.519, 0.851, 7.0, -6.001, 1.0, 0.29, 0.118, 0.0, 0.178, 0.711, 123.823, 213104.0]"
Rick Ross,Kind of Girl,"[67.0, 0.428, 0.698, 11.0, -7.837, 0.0, 0.408, 0.318, 0.0, 0.449, 0.191, 151.794, 177788.0]"
Rick Ross,Stay Schemin,"[63.0, 0.541, 0.734, 7.0, -4.232, 0.0, 0.166, 0.0621, 0.0, 0.12, 0.321, 162.304, 267720.0]"
Rick Ross,Gold Roses feat. Drake,"[63.0, 0.502, 0.633, 1.0, -5.8, 1.0, 0.419, 0.00991, 0.0, 0.389, 0.552, 83.226, 349600.0]"
Rick Ross,Here I Am,"[60.0, 0.746, 0.717, 10.0, -5.788, 0.0, 0.127, 0.189, 0.0, 0.0704, 0.475, 109.754, 209547.0]"
Wale,Lotus Flower Bomb feat. Miguel,"[68.0, 0.512, 0.598, 9.0, -4.959, 0.0, 0.115, 0.611, 0.0, 0.0881, 0.345, 70.189, 213253.0]"
Wale,The Need to Know feat. SZA,"[65.0, 0.537, 0.411, 7.0, -14.059, 1.0, 0.502, 0.487, 9.21e-06, 0.3, 0.207, 94.292, 216832.0]"
Wale,Beauty In The Madness,"[49.0, 0.718, 0.614, 5.0, -4.854, 0.0, 0.0534, 0.118, 0.0, 0.283, 0.592, 130.581, 220735.0]"
Wale,On Chill feat. Jeremih,"[63.0, 0.597, 0.733, 1.0, -6.017, 1.0, 0.41, 0.134, 0.0, 0.159, 0.639, 171.016, 214035.0]"
Wale,My Love feat. Major Lazer WizKid Dua Lipa,"[62.0, 0.728, 0.811, 7.0, -4.278, 1.0, 0.0564, 0.0453, 2.07e-06, 0.362, 0.705, 114.995, 228707.0]"
Wale,Bad feat. Rihanna - Remix,"[62.0, 0.807, 0.702, 6.0, -6.594, 0.0, 0.0748, 0.307, 0.0, 0.111, 0.447, 114.038, 238827.0]"
Wale,Poke It Out feat. J. Cole,"[57.0, 0.778, 0.934, 9.0, -3.488, 1.0, 0.321, 0.184, 0.0, 0.123, 0.803, 98.97, 183333.0]"
Wale,Love... Her Fault [feat. Bryson Tiller],"[60.0, 0.59, 0.598, 7.0, -7.153, 1.0, 0.609, 0.0697, 0.0, 0.112, 0.34, 156.073, 212500.0]"
Wale,Ride Out,"[59.0, 0.696, 0.801, 5.0, -5.641, 0.0, 0.0952, 0.0469, 0.0, 0.502, 0.536, 93.003, 211909.0]"
Wale,Change,"[58.0, 0.511, 0.85, 11.0, -3.562, 0.0, 0.195, 0.0237, 0.0, 0.0615, 0.326, 90.047, 277970.0]"
PARTYNEXTDOOR,Break from Toronto,"[79.0, 0.596, 0.678, 9.0, -5.18, 1.0, 0.0335, 0.0199, 0.004, 0.418, 0.259, 117.066, 99213.0]"
PARTYNEXTDOOR,Come and See Me feat. Drake,"[72.0, 0.717, 0.347, 11.0, -10.265, 0.0, 0.0636, 0.0511, 2.43e-06, 0.087, 0.0589, 84.987, 235477.0]"
PARTYNEXTDOOR,BELIEVE IT,"[71.0, 0.43, 0.7, 6.0, -5.35, 1.0, 0.264, 0.0902, 0.0, 0.216, 0.731, 158.373, 183219.0]"
PARTYNEXTDOOR,Recognize feat. Drake,"[70.0, 0.643, 0.541, 2.0, -5.801, 1.0, 0.0426, 0.0102, 0.0, 0.102, 0.165, 119.499, 311197.0]"
PARTYNEXTDOOR,LOYAL feat. Drake and Bad Bunny - Remix,"[69.0, 0.877, 0.529, 0.0, -6.235, 0.0, 0.0461, 0.479, 0.00159, 0.094, 0.422, 104.984, 281120.0]"
PARTYNEXTDOOR,Excitement feat. PARTYNEXTDOOR,"[69.0, 0.443, 0.536, 4.0, -8.187, 0.0, 0.0378, 0.0194, 4.24e-05, 0.1, 0.0391, 121.967, 283285.0]"
PARTYNEXTDOOR,LOYAL feat. Drake,"[68.0, 0.866, 0.53, 0.0, -6.347, 0.0, 0.0495, 0.517, 0.00159, 0.0946, 0.203, 104.952, 197973.0]"
PARTYNEXTDOOR,Just Might with PARTYNEXTDOOR,"[68.0, 0.69, 0.377, 7.0, -7.907, 1.0, 0.0793, 0.672, 1.06e-06, 0.106, 0.18, 104.924, 205733.0]"
PARTYNEXTDOOR,Belong to the City,"[67.0, 0.505, 0.476, 5.0, -9.767, 0.0, 0.0508, 0.709, 0.00128, 0.129, 0.2, 176.332, 98024.0]"
PARTYNEXTDOOR,Wus Good / Curious,"[66.0, 0.344, 0.537, 8.0, -8.215, 0.0, 0.079, 0.0727, 0.000127, 0.225, 0.453, 82.878, 212880.0]"
2 Chainz,It's A Vibe,"[71.0, 0.822, 0.502, 7.0, -7.38, 1.0, 0.148, 0.0312, 0.000887, 0.114, 0.525, 73.003, 210200.0]"
2 Chainz,We Own It Fast  Furious,"[70.0, 0.563, 0.902, 1.0, -4.586, 0.0, 0.402, 0.0545, 0.0, 0.0524, 0.559, 171.999, 227907.0]"
2 Chainz,Champions,"[67.0, 0.692, 0.774, 6.0, -2.48, 0.0, 0.0876, 0.0623, 0.0, 0.873, 0.349, 134.952, 334253.0]"
2 Chainz,X with 2 Chainz  Saudi,"[67.0, 0.768, 0.471, 2.0, -8.406, 1.0, 0.259, 0.0201, 0.0, 0.268, 0.405, 131.023, 267427.0]"
2 Chainz,Million Dollars Worth of Game feat. 42 Dugg,"[61.0, 0.81, 0.68, 2.0, -4.871, 1.0, 0.346, 0.0059, 0.0, 0.112, 0.419, 97.02, 158627.0]"
2 Chainz,4 AM,"[66.0, 0.796, 0.5, 1.0, -7.21, 1.0, 0.425, 0.118, 0.0, 0.155, 0.227, 75.012, 255560.0]"
2 Chainz,Baddest,"[62.0, 0.712, 0.703, 4.0, -6.174, 0.0, 0.199, 0.0287, 0.0, 0.13, 0.452, 89.024, 202247.0]"
2 Chainz,Alive with Offset  2 Chainz,"[62.0, 0.811, 0.726, 2.0, -6.726, 1.0, 0.323, 0.362, 1.88e-06, 0.121, 0.57, 150.061, 235897.0]"
2 Chainz,No Lie,"[61.0, 0.634, 0.665, 6.0, -5.984, 0.0, 0.176, 0.0172, 0.0, 0.365, 0.611, 131.108, 237827.0]"
2 Chainz,Mercy.1,"[60.0, 0.556, 0.644, 6.0, -5.805, 0.0, 0.402, 0.0558, 2.32e-05, 0.35, 0.499, 140.009, 326347.0]"
Tory Lanez,The Color Violet,"[77.0, 0.645, 0.534, 6.0, -10.8, 0.0, 0.0479, 0.157, 0.0, 0.0863, 0.463, 105.02, 226467.0]"
Tory Lanez,WHATS POPPIN feat. DaBaby Tory Lanez  Lil Wayne - Remix,"[77.0, 0.904, 0.723, 11.0, -5.224, 0.0, 0.26, 0.0631, 0.0, 0.185, 0.835, 145.013, 227478.0]"
Tory Lanez,Broke In A Minute,"[74.0, 0.929, 0.7, 0.0, -5.595, 0.0, 0.0906, 0.144, 0.0, 0.349, 0.802, 120.009, 132024.0]"
Tory Lanez,Say It,"[73.0, 0.546, 0.529, 11.0, -10.511, 0.0, 0.0583, 0.0862, 6.5e-06, 0.124, 0.247, 107.331, 237787.0]"
Tory Lanez,Chauffeur,"[72.0, 0.639, 0.767, 6.0, -4.997, 1.0, 0.0928, 0.13, 0.0, 0.205, 0.54, 154.032, 205040.0]"
Tory Lanez,The Take feat. Chris Brown,"[71.0, 0.464, 0.547, 7.0, -8.137, 0.0, 0.339, 0.0511, 0.0, 0.155, 0.423, 67.003, 221492.0]"
Tory Lanez,In For It,"[70.0, 0.383, 0.531, 5.0, -7.814, 0.0, 0.0741, 0.0753, 0.000102, 0.108, 0.0375, 105.971, 293307.0]"
Tory Lanez,Lady Of Namek,"[68.0, 0.676, 0.659, 11.0, -5.123, 0.0, 0.0476, 0.194, 0.0, 0.283, 0.595, 134.985, 193994.0]"
Tory Lanez,And This is Just The Intro,"[68.0, 0.53, 0.517, 5.0, -9.253, 0.0, 0.399, 0.387, 0.0, 0.176, 0.381, 137.554, 326813.0]"
Tory Lanez,Lavender Sunflower,"[67.0, 0.607, 0.735, 4.0, -6.065, 0.0, 0.095, 0.253, 0.0, 0.11, 0.964, 88.894, 151967.0]"
Future,WAIT FOR U feat. Drake  Tems,"[90.0, 0.463, 0.642, 1.0, -4.474, 1.0, 0.34, 0.314, 0.0, 0.0686, 0.339, 83.389, 189893.0]"
Future,PUFFIN ON ZOOTIEZ,"[82.0, 0.883, 0.657, 8.0, -5.748, 1.0, 0.305, 0.0603, 0.0, 0.128, 0.284, 124.992, 172933.0]"
