edge,edge_weight
"('Phony Ppl', 'Chance the Rapper')",0.0
"('Flatbush Zombies', 'Chance the Rapper')",0.0
"('Domo Genesis', 'Chance the Rapper')",0.0
"('ScHoolboy Q', 'Chance the Rapper')",0.0
"('Saba', 'Chance the Rapper')",2.0
"('Isaiah Rashad', 'Chance the Rapper')",0.0
"('Joey Purp', 'Chance the Rapper')",0.0
"('Taylor Bennett', 'Chance the Rapper')",2.0
"('Freddie Gibbs', 'Chance the Rapper')",0.0
"('Danny Brown', 'Chance the Rapper')",0.0
"('Jay Electronica', 'Lupe Fiasco')",0.0
"('Clipse', 'Lupe Fiasco')",0.0
"('The Cool Kids', 'Lupe Fiasco')",0.0
"('Talib Kweli', 'Lupe Fiasco')",15.0
"('Big K.R.I.T.', 'Lupe Fiasco')",3.0
"('Asher Roth', 'Lupe Fiasco')",0.0
"('Blu', 'Lupe Fiasco')",0.0
"('Royce Da 5\'9""', 'Lupe Fiasco')",0.0
"('Big Boi', 'Lupe Fiasco')",0.0
"('Black Star', 'Lupe Fiasco')",0.0
"('Common', 'Lupe Fiasco')",0.0
"('Little Brother', 'Lupe Fiasco')",0.0
"('CyHi', 'Lupe Fiasco')",0.0
"('Mos Def', 'Lupe Fiasco')",0.0
"('Black Thought', 'Lupe Fiasco')",0.0
"('Curren$y', 'Lupe Fiasco')",0.0
"('Elzhi', 'Lupe Fiasco')",0.0
"('Joe Budden', 'Lupe Fiasco')",0.0
"('The Roots', 'Lupe Fiasco')",0.0
"('N.E.R.D', 'Lupe Fiasco')",0.0
"('Nas', 'JAY-Z')",4.0
"('Fat Joe', 'JAY-Z')",0.0
"('The Carters', 'JAY-Z')",0.0
"('Cam’ron', 'JAY-Z')",0.0
"('Kanye West', 'JAY-Z')",125.0
"('Beanie Sigel', 'JAY-Z')",33.0
"('Fabolous', 'JAY-Z')",0.0
"('Memphis Bleek', 'JAY-Z')",36.0
"('Eminem', 'JAY-Z')",4.0
"('Rick Ross', 'JAY-Z')",5.0
"('Foxy Brown', 'JAY-Z')",9.0
"('The LOX', 'JAY-Z')",2.0
"('DMX', 'JAY-Z')",2.0
"('Busta Rhymes', 'JAY-Z')",0.0
"('Diddy', 'JAY-Z')",2.0
"('Jadakiss', 'JAY-Z')",0.0
"('The Notorious B.I.G.', 'JAY-Z')",12.0
"('Big Pun', 'JAY-Z')",0.0
"('Method Man', 'JAY-Z')",0.0
"('Mobb Deep', 'JAY-Z')",0.0
"('WZRD', 'KIDS SEE GHOSTS')",0.0
"('JPEGMAFIA', 'KIDS SEE GHOSTS')",0.0
"('Danny Brown', 'KIDS SEE GHOSTS')",0.0
"('Injury Reserve', 'KIDS SEE GHOSTS')",0.0
"('Earl Sweatshirt', 'KIDS SEE GHOSTS')",0.0
"('JulezJZ', 'KIDS SEE GHOSTS')",0.0
"('Pusha T', 'KIDS SEE GHOSTS')",2.0
"('Westside Gunn', 'KIDS SEE GHOSTS')",0.0
"('redveil', 'KIDS SEE GHOSTS')",0.0
"('KayCyy', 'KIDS SEE GHOSTS')",0.0
"('Freddie Gibbs', 'KIDS SEE GHOSTS')",0.0
"('Death Grips', 'KIDS SEE GHOSTS')",0.0
"('Denzel Curry', 'KIDS SEE GHOSTS')",0.0
"('070 Shake', 'KIDS SEE GHOSTS')",0.0
"('Madvillain', 'KIDS SEE GHOSTS')",0.0
"('Young Ratoo', 'KIDS SEE GHOSTS')",0.0
"('Saba', 'KIDS SEE GHOSTS')",0.0
"('Vince Staples', 'KIDS SEE GHOSTS')",0.0
"('Jay Electronica', 'KIDS SEE GHOSTS')",0.0
"('billy woods', 'KIDS SEE GHOSTS')",0.0
"('Domo Genesis', 'Vince Staples')",0.0
"('Earl Sweatshirt', 'Vince Staples')",0.0
"('Casey Veggies', 'Vince Staples')",0.0
"('Danny Brown', 'Vince Staples')",0.0
"('Flatbush Zombies', 'Vince Staples')",0.0
"('Denzel Curry', 'Vince Staples')",0.0
"('MellowHigh', 'Vince Staples')",0.0
"('Freddie Gibbs', 'Vince Staples')",0.0
"('Joey Bada$$', 'Vince Staples')",0.0
"('Ab-Soul', 'Vince Staples')",0.0
"('Boldy James', 'Vince Staples')",0.0
"('Isaiah Rashad', 'Vince Staples')",0.0
"('JPEGMAFIA', 'Vince Staples')",0.0
"('Action Bronson', 'Vince Staples')",0.0
"('Big K.R.I.T.', 'Vince Staples')",0.0
"('ScHoolboy Q', 'Vince Staples')",0.0
"('Lil B', 'Vince Staples')",0.0
"('Mick Jenkins', 'Vince Staples')",0.0
"('VRITRA', 'Vince Staples')",0.0
"('Kilo Kish', 'Vince Staples')",5.0
"('Kevin Abstract', 'BROCKHAMPTON')",0.0
"('JPEGMAFIA', 'BROCKHAMPTON')",2.0
"('Ameer Vann', 'BROCKHAMPTON')",0.0
"('Injury Reserve', 'BROCKHAMPTON')",0.0
"('Aminé', 'BROCKHAMPTON')",0.0
"('Duckwrth', 'BROCKHAMPTON')",0.0
"('Choker', 'BROCKHAMPTON')",0.0
"('070 Shake', 'BROCKHAMPTON')",0.0
"('Tierra Whack', 'BROCKHAMPTON')",0.0
"('Yeek', 'BROCKHAMPTON')",0.0
"('slowthai', 'BROCKHAMPTON')",0.0
"('Saba', 'BROCKHAMPTON')",0.0
"('IDK', 'BROCKHAMPTON')",0.0
"('Jaden', 'BROCKHAMPTON')",0.0
"('Smino', 'BROCKHAMPTON')",0.0
"('Isaiah Rashad', 'BROCKHAMPTON')",0.0
"('Earl Sweatshirt', 'BROCKHAMPTON')",0.0
"('Vince Staples', 'BROCKHAMPTON')",0.0
"('Noname', 'BROCKHAMPTON')",0.0
"('Kenny Mason', 'BROCKHAMPTON')",0.0
"('Big K.R.I.T.', 'Freddie Gibbs')",0.0
"('Smoke DZA', 'Freddie Gibbs')",1.0
"('Curren$y', 'Freddie Gibbs')",9.0
"('Ab-Soul', 'Freddie Gibbs')",5.0
"('Clipse', 'Freddie Gibbs')",0.0
"('Boldy James', 'Freddie Gibbs')",0.0
"('Jay Electronica', 'Freddie Gibbs')",0.0
"('Danny Brown', 'Freddie Gibbs')",2.0
"('The Alchemist', 'Freddie Gibbs')",19.0
"('Earl Sweatshirt', 'Freddie Gibbs')",5.0
"('Pusha T', 'Freddie Gibbs')",1.0
"('Action Bronson', 'Freddie Gibbs')",0.0
"('Roc Marciano', 'Freddie Gibbs')",0.0
"('Jay Rock', 'Freddie Gibbs')",1.0
"('Domo Genesis', 'Freddie Gibbs')",7.0
"('Blu', 'Freddie Gibbs')",0.0
"('Dom Kennedy', 'Freddie Gibbs')",1.0
"('Statik Selektah', 'Freddie Gibbs')",1.0
"('The Cool Kids', 'Freddie Gibbs')",0.0
"('CyHi', 'Freddie Gibbs')",0.0
"('Pi’erre Bourne', 'Baby Keem')",0.0
"('redveil', 'Baby Keem')",0.0
"('Aaron May', 'Baby Keem')",0.0
"('IDK', 'Baby Keem')",0.0
"('Young Stoner Life', 'Baby Keem')",0.0
"('Isaiah Rashad', 'Baby Keem')",0.0
"('Young Nudy', 'Baby Keem')",0.0
"('JID', 'Baby Keem')",0.0
"('LUCKI', 'Baby Keem')",0.0
"('Metro Boomin', 'Baby Keem')",0.0
"('A$AP Mob', 'Baby Keem')",0.0
"('Mike Dimes', 'Baby Keem')",0.0
"('$NOT', 'Baby Keem')",0.0
"('Lil Yachty', 'Baby Keem')",0.0
"('Smino', 'Baby Keem')",0.0
"('Ben Reilly', 'Baby Keem')",0.0
"('MadeinTYO', 'Baby Keem')",0.0
"('Saba', 'Baby Keem')",0.0
"('Ken Carson', 'Baby Keem')",0.0
"('Dreamville', 'Baby Keem')",0.0
"('Mick Jenkins', 'Isaiah Rashad')",0.0
"('Saba', 'Isaiah Rashad')",0.0
"('Ab-Soul', 'Isaiah Rashad')",0.0
"('Kirk Knight', 'Isaiah Rashad')",0.0
"('Childish Major', 'Isaiah Rashad')",0.0
"('Domo Genesis', 'Isaiah Rashad')",0.0
"('Freddie Gibbs', 'Isaiah Rashad')",0.0
"('Rejjie Snow', 'Isaiah Rashad')",0.0
"('Vince Staples', 'Isaiah Rashad')",0.0
"('Smino', 'Isaiah Rashad')",3.0
"('Erick the Architect', 'Isaiah Rashad')",0.0
"('REASON', 'Isaiah Rashad')",0.0
"('A$AP Twelvyy', 'Isaiah Rashad')",0.0
"('Noname', 'Isaiah Rashad')",0.0
"('Lute', 'Isaiah Rashad')",0.0
"('Flatbush Zombies', 'Isaiah Rashad')",0.0
"('Joey Bada$$', 'Isaiah Rashad')",0.0
"('IDK', 'Isaiah Rashad')",0.0
"('Kota the Friend', 'Isaiah Rashad')",0.0
"('GoldLink', 'Isaiah Rashad')",0.0
"('Flipp Dinero', 'NAV')",0.0
"('YBN Nahmir', 'NAV')",0.0
"('PnB Rock', 'NAV')",0.0
"('Quality Control', 'NAV')",0.0
"('Quavo', 'NAV')",6.0
"('Lil Yachty', 'NAV')",0.0
"('Yung Pinch', 'NAV')",0.0
"('Rich The Kid', 'NAV')",0.0
"('Tee Grizzley', 'NAV')",0.0
"('88GLAM', 'NAV')",2.0
"('Lil Mosey', 'NAV')",0.0
"('SahBabii', 'NAV')",4.0
"('Lil Gnar', 'NAV')",0.0
"('Metro Boomin', 'NAV')",30.0
"('YNW Melly', 'NAV')",0.0
"('Nebu Kiniza', 'NAV')",0.0
"('Roddy Ricch', 'NAV')",0.0
"('Famous Dex', 'NAV')",0.0
"('Ugly God', 'NAV')",0.0
"('Comethazine', 'NAV')",0.0
"('Tay-K', 'Comethazine')",0.0
"('Lil Gnar', 'Comethazine')",0.0
"('YBN Nahmir', 'Comethazine')",0.0
"('Famous Dex', 'Comethazine')",0.0
"('Lil Yachty', 'Comethazine')",1.0
"('Ugly God', 'Comethazine')",1.0
"('Kid Trunks', 'Comethazine')",0.0
"('Almighty Jay', 'Comethazine')",0.0
"('Yung Bans', 'Comethazine')",0.0
"('Blueface', 'Comethazine')",0.0
"('Trippie Redd', 'Comethazine')",0.0
"('D. Savage', 'Comethazine')",0.0
"('Sheck Wes', 'Comethazine')",0.0
"('UnoTheActivist', 'Comethazine')",0.0
"('Flipp Dinero', 'Comethazine')",0.0
"('Young Nudy', 'Comethazine')",0.0
"('Cooliecut', 'Comethazine')",0.0
"('$NOT', 'Comethazine')",0.0
"('Matt Ox', 'Comethazine')",0.0
"('Craig Xen', 'Comethazine')",0.0
"('Tay-K', 'Lil Yachty')",0.0
"('Famous Dex', 'Lil Yachty')",2.0
"('YBN Nahmir', 'Lil Yachty')",0.0
"('Ugly God', 'Lil Yachty')",2.0
"('Comethazine', 'Lil Yachty')",0.0
"('Yung Bans', 'Lil Yachty')",0.0
"('SahBabii', 'Lil Yachty')",0.0
"('Quality Control', 'Lil Yachty')",0.0
"('Sheck Wes', 'Lil Yachty')",0.0
"('A$AP Mob', 'Lil Yachty')",0.0
"('Lil Pump', 'Lil Yachty')",1.0
"('Lil Gnar', 'Lil Yachty')",0.0
"('UnoTheActivist', 'Lil Yachty')",0.0
"('Young Nudy', 'Lil Yachty')",1.0
"('Huncho Jack', 'Lil Yachty')",0.0
"('D. Savage', 'Lil Yachty')",0.0
"('Jay Critch', 'Lil Yachty')",0.0
"('Pi’erre Bourne', 'Lil Yachty')",0.0
"('Quavo', 'Lil Yachty')",3.0
"('Rich The Kid', 'Lil Yachty')",1.0
"('Tee Grizzley', 'Kodak Black')",0.0
"('Roddy Ricch', 'Kodak Black')",0.0
"('NAV', 'Kodak Black')",0.0
"('YoungBoy Never Broke Again', 'Kodak Black')",0.0
"('Young Nudy', 'Kodak Black')",0.0
"('YNW Melly', 'Kodak Black')",0.0
"('Blueface', 'Kodak Black')",0.0
"('Lil Yachty', 'Kodak Black')",2.0
"('Gunna', 'Kodak Black')",0.0
"('Famous Dex', 'Kodak Black')",0.0
"('Metro Boomin', 'Kodak Black')",0.0
"('YBN Nahmir', 'Kodak Black')",0.0
"('PnB Rock', 'Kodak Black')",1.0
"('Young Thug', 'Kodak Black')",2.0
"('SahBabii', 'Kodak Black')",0.0
"('Quavo', 'Kodak Black')",0.0
"('Tay-K', 'Kodak Black')",0.0
"('Rich The Kid', 'Kodak Black')",0.0
"('Quando Rondo', 'Kodak Black')",0.0
"('Moneybagg Yo', 'Kodak Black')",0.0
"('Comethazine', 'Trippie Redd')",0.0
"('Polo G', 'Trippie Redd')",2.0
"('Tay-K', 'Trippie Redd')",0.0
"('NAV', 'Trippie Redd')",0.0
"('Lil Yachty', 'Trippie Redd')",3.0
"('Yung Pinch', 'Trippie Redd')",0.0
"('Flipp Dinero', 'Trippie Redd')",0.0
"('Lil Gnar', 'Trippie Redd')",0.0
"('YNW Melly', 'Trippie Redd')",3.0
"('Lil Tecca', 'Trippie Redd')",1.0
"('Cordae', 'Trippie Redd')",0.0
"('YBN Nahmir', 'Trippie Redd')",0.0
"('Lil Uzi Vert', 'Trippie Redd')",2.0
"('Famous Dex', 'Trippie Redd')",1.0
"('Kid Trunks', 'Trippie Redd')",0.0
"('Lil Mosey', 'Trippie Redd')",7.0
"('Young Nudy', 'Trippie Redd')",0.0
"('21 Savage', 'Trippie Redd')",0.0
"('Yung Bans', 'Trippie Redd')",0.0
"('Gunna', 'Trippie Redd')",0.0
"('YNW Melly', 'Lil Tecca')",0.0
"('Roddy Ricch', 'Lil Tecca')",0.0
"('Blueface', 'Lil Tecca')",0.0
"('DaBaby', 'Lil Tecca')",0.0
"('Lil Mosey', 'Lil Tecca')",0.0
"('Scorey', 'Lil Tecca')",0.0
"('Flipp Dinero', 'Lil Tecca')",0.0
"('YK Osiris', 'Lil Tecca')",0.0
"('NAV', 'Lil Tecca')",6.0
"('Comethazine', 'Lil Tecca')",0.0
"('Cordae', 'Lil Tecca')",0.0
"('YoungBoy Never Broke Again', 'Lil Tecca')",0.0
"('PnB Rock', 'Lil Tecca')",0.0
"('Trippie Redd', 'Lil Tecca')",4.0
"('Pi’erre Bourne', 'Lil Tecca')",0.0
"('24kGoldn', 'Lil Tecca')",0.0
"('Luh Kel', 'Lil Tecca')",0.0
"('Yeat', 'Lil Tecca')",0.0
"('Quando Rondo', 'Lil Tecca')",0.0
"('Polo G', 'Lil Tecca')",2.0
"('YNW Melly', 'Lil Mosey')",0.0
"('Flipp Dinero', 'Lil Mosey')",0.0
"('Almighty Jay', 'Lil Mosey')",0.0
"('Blueface', 'Lil Mosey')",0.0
"('YBN Nahmir', 'Lil Mosey')",0.0
"('Comethazine', 'Lil Mosey')",0.0
"('NAV', 'Lil Mosey')",0.0
"('Lil Tecca', 'Lil Mosey')",0.0
"('Yung Pinch', 'Lil Mosey')",0.0
"('Lil Gnar', 'Lil Mosey')",0.0
"('Nebu Kiniza', 'Lil Mosey')",0.0
"('Landon Cube', 'Lil Mosey')",0.0
"('DaBaby', 'Lil Mosey')",0.0
"('PnB Rock', 'Lil Mosey')",0.0
"('YK Osiris', 'Lil Mosey')",0.0
"('iann dior', 'Lil Mosey')",0.0
"('Scorey', 'Lil Mosey')",0.0
"('Tee Grizzley', 'Lil Mosey')",0.0
"('Tyla Yaweh', 'Lil Mosey')",0.0
"('Famous Dex', 'Lil Mosey')",0.0
"('Blueface', 'YNW Melly')",0.0
"('Roddy Ricch', 'YNW Melly')",0.0
"('YK Osiris', 'YNW Melly')",0.0
"('Lil Tecca', 'YNW Melly')",0.0
"('Lil Mosey', 'YNW Melly')",0.0
"('Quando Rondo', 'YNW Melly')",0.0
"('Flipp Dinero', 'YNW Melly')",0.0
"('Scorey', 'YNW Melly')",0.0
"('YoungBoy Never Broke Again', 'YNW Melly')",0.0
"('DaBaby', 'YNW Melly')",0.0
"('NAV', 'YNW Melly')",0.0
"('Tee Grizzley', 'YNW Melly')",2.0
"('PnB Rock', 'YNW Melly')",0.0
"('Polo G', 'YNW Melly')",0.0
"('YBN Nahmir', 'YNW Melly')",0.0
"('Yungeen Ace', 'YNW Melly')",0.0
"('NoCap', 'YNW Melly')",0.0
"('A Boogie Wit da Hoodie', 'YNW Melly')",0.0
"('Kodak Black', 'YNW Melly')",2.0
"('Rich The Kid', 'YNW Melly')",0.0
"('Almighty Jay', 'YBN Nahmir')",10.0
"('Ugly God', 'YBN Nahmir')",0.0
"('Comethazine', 'YBN Nahmir')",0.0
"('Lil Yachty', 'YBN Nahmir')",0.0
"('Nebu Kiniza', 'YBN Nahmir')",0.0
"('Flipp Dinero', 'YBN Nahmir')",0.0
"('Famous Dex', 'YBN Nahmir')",0.0
"('Cordae', 'YBN Nahmir')",5.0
"('Lil Gnar', 'YBN Nahmir')",0.0
"('Blueface', 'YBN Nahmir')",0.0
"('Tay-K', 'YBN Nahmir')",0.0
"('Yung Bans', 'YBN Nahmir')",0.0
"('NAV', 'YBN Nahmir')",0.0
"('SOB X RBE', 'YBN Nahmir')",0.0
"('Rich The Kid', 'YBN Nahmir')",0.0
"('Sheck Wes', 'YBN Nahmir')",0.0
"('Lil Pump', 'YBN Nahmir')",0.0
"('Tee Grizzley', 'YBN Nahmir')",0.0
"('Quality Control', 'YBN Nahmir')",0.0
"('Dbangz', 'YBN Nahmir')",0.0
"('YNW Melly', 'Blueface')",0.0
"('Yung Tory', 'Blueface')",0.0
"('BlocBoy JB', 'Blueface')",0.0
"('YK Osiris', 'Blueface')",0.0
"('Comethazine', 'Blueface')",0.0
"('Roddy Ricch', 'Blueface')",0.0
"('Lil Tecca', 'Blueface')",0.0
"('DaBaby', 'Blueface')",2.0
"('YBN Nahmir', 'Blueface')",2.0
"('Flipp Dinero', 'Blueface')",0.0
"('Quin Nfn', 'Blueface')",0.0
"('Almighty Jay', 'Blueface')",0.0
"('Quando Rondo', 'Blueface')",0.0
"('Cordae', 'Blueface')",0.0
"('Lil Mosey', 'Blueface')",0.0
"('Lil Yachty', 'Blueface')",0.0
"('Famous Dex', 'Blueface')",0.0
"('DDG', 'Blueface')",0.0
"('Yung Bans', 'Blueface')",0.0
"('SleazyWorld Go', 'Blueface')",0.0
"('Kid Trunks', 'Lil Gnar')",0.0
"('Yung Pinch', 'Lil Gnar')",0.0
"('Comethazine', 'Lil Gnar')",0.0
"('Nebu Kiniza', 'Lil Gnar')",0.0
"('Matt Ox', 'Lil Gnar')",0.0
"('Ronny J', 'Lil Gnar')",0.0
"('Almighty Jay', 'Lil Gnar')",0.0
"('Global Dan', 'Lil Gnar')",0.0
"('YBN Nahmir', 'Lil Gnar')",1.0
"('Cooliecut', 'Lil Gnar')",0.0
"('Famous Dex', 'Lil Gnar')",0.0
"('Flipp Dinero', 'Lil Gnar')",0.0
"('Yung Bans', 'Lil Gnar')",1.0
"('$NOT', 'Lil Gnar')",0.0
"('Fukkit', 'Lil Gnar')",0.0
"('UnoTheActivist', 'Lil Gnar')",1.0
"('Smooky MarGielaa', 'Lil Gnar')",0.0
"('Lil Yachty', 'Lil Gnar')",1.0
"('Robb Bank$', 'Lil Gnar')",1.0
"('Yung Tory', 'Lil Gnar')",0.0
"('Lil Yachty', 'Lil Pump')",1.0
"('Ugly God', 'Lil Pump')",0.0
"('Famous Dex', 'Lil Pump')",0.0
"('Ronny J', 'Lil Pump')",14.0
"('Tay-K', 'Lil Pump')",0.0
"('Quality Control', 'Lil Pump')",0.0
"('Kid Trunks', 'Lil Pump')",0.0
"('Comethazine', 'Lil Pump')",0.0
"('Lil Gnar', 'Lil Pump')",0.0
"('Lil Xan', 'Lil Pump')",0.0
"('6ix9ine', 'Lil Pump')",0.0
"('Rich The Kid', 'Lil Pump')",0.0
"('Huncho Jack', 'Lil Pump')",0.0
"('YBN Nahmir', 'Lil Pump')",0.0
"('Icy Narco', 'Lil Pump')",0.0
"('Yung Bans', 'Lil Pump')",0.0
"('Supreme Patty', 'Lil Pump')",0.0
"('Quavo', 'Lil Pump')",2.0
"('City Morgue', 'Lil Pump')",0.0
"('Keith Ape', 'Lil Pump')",0.0
"('Almighty Jay', 'Flipp Dinero')",0.0
"('YBN Nahmir', 'Flipp Dinero')",0.0
"('Nebu Kiniza', 'Flipp Dinero')",0.0
"('Cordae', 'Flipp Dinero')",0.0
"('Yung Tory', 'Flipp Dinero')",0.0
"('88GLAM', 'Flipp Dinero')",0.0
"('YK Osiris', 'Flipp Dinero')",0.0
"('Lil Gnar', 'Flipp Dinero')",0.0
"('Yung Pinch', 'Flipp Dinero')",0.0
"('NAV', 'Flipp Dinero')",0.0
"('Quavo', 'Flipp Dinero')",0.0
"('Blueface', 'Flipp Dinero')",0.0
"('Lil Mosey', 'Flipp Dinero')",0.0
"('Ugly God', 'Flipp Dinero')",0.0
"('Jay Critch', 'Flipp Dinero')",2.0
"('Sheck Wes', 'Flipp Dinero')",0.0
"('Famous Dex', 'Flipp Dinero')",0.0
"('Comethazine', 'Flipp Dinero')",0.0
"('Kap G', 'Flipp Dinero')",0.0
"('Yung Bans', 'Flipp Dinero')",0.0
"('Lil Yachty', 'Tay-K')",0.0
"('Comethazine', 'Tay-K')",0.0
"('Famous Dex', 'Tay-K')",0.0
"('Ugly God', 'Tay-K')",0.0
"('Yung Bans', 'Tay-K')",0.0
"('YBN Nahmir', 'Tay-K')",0.0
"('D. Savage', 'Tay-K')",0.0
"('UnoTheActivist', 'Tay-K')",0.0
"('Young Nudy', 'Tay-K')",2.0
"('Almighty Jay', 'Tay-K')",0.0
"('Duwap Kaine', 'Tay-K')",0.0
"('SahBabii', 'Tay-K')",0.0
"('Sheck Wes', 'Tay-K')",0.0
"('Pi’erre Bourne', 'Tay-K')",0.0
"('Matt Ox', 'Tay-K')",0.0
"('Lil Gnar', 'Tay-K')",0.0
"('SoFaygo', 'Tay-K')",0.0
"('A$AP Mob', 'Tay-K')",0.0
"('A$AP ANT', 'Tay-K')",0.0
"('Remble', 'Tay-K')",0.0
"('Almighty Jay', 'Famous Dex')",0.0
"('Lil Yachty', 'Famous Dex')",3.0
"('Quality Control', 'Famous Dex')",0.0
"('Ugly God', 'Famous Dex')",1.0
"('Lil Pump', 'Famous Dex')",0.0
"('YBN Nahmir', 'Famous Dex')",0.0
"('Nebu Kiniza', 'Famous Dex')",0.0
"('Yung Bans', 'Famous Dex')",0.0
"('Smooky MarGielaa', 'Famous Dex')",0.0
"('Jay Critch', 'Famous Dex')",7.0
"('Tay-K', 'Famous Dex')",0.0
"('Ronny J', 'Famous Dex')",0.0
"('Comethazine', 'Famous Dex')",0.0
"('Huncho Jack', 'Famous Dex')",0.0
"('D. Savage', 'Famous Dex')",0.0
"('Rich The Kid', 'Famous Dex')",16.0
"('A$AP ANT', 'Famous Dex')",0.0
"('SahBabii', 'Famous Dex')",0.0
"('A$AP Mob', 'Famous Dex')",0.0
"('Lil Gnar', 'Famous Dex')",0.0
"('Quavo', '6ix9ine')",0.0
"('Lil Pump', '6ix9ine')",0.0
"('YBN Nahmir', '6ix9ine')",0.0
"('NAV', '6ix9ine')",0.0
"('Sheck Wes', '6ix9ine')",0.0
"('Flipp Dinero', '6ix9ine')",0.0
"('Blueface', '6ix9ine')",0.0
"('Tee Grizzley', '6ix9ine')",0.0
"('Lil Xan', '6ix9ine')",0.0
"('Famous Dex', '6ix9ine')",0.0
"('Trippie Redd', '6ix9ine')",0.0
"('Metro Boomin', '6ix9ine')",0.0
"('Lil Mosey', '6ix9ine')",0.0
"('Lil Yachty', '6ix9ine')",0.0
"('Comethazine', '6ix9ine')",0.0
"('21 Savage', '6ix9ine')",0.0
"('Ugly God', '6ix9ine')",0.0
"('Quality Control', '6ix9ine')",0.0
"('YNW Melly', '6ix9ine')",0.0
"('Lil Gnar', '6ix9ine')",0.0
"('Pi’erre Bourne', 'Yeat')",0.0
"('UnoTheActivist', 'Yeat')",0.0
"('Young Nudy', 'Yeat')",0.0
"('Lil Keed', 'Yeat')",0.0
"('D. Savage', 'Yeat')",0.0
"('Playboi Carti', 'Yeat')",0.0
"('Tay-K', 'Yeat')",0.0
"('Lancey Foux', 'Yeat')",2.0
"('SahBabii', 'Yeat')",0.0
"('Ken Carson', 'Yeat')",4.0
"('Comethazine', 'Yeat')",0.0
"('KANKAN', 'Yeat')",0.0
"('LUCKI', 'Yeat')",0.0
"('Autumn!', 'Yeat')",0.0
"('Summrs', 'Yeat')",1.0
"('tana', 'Yeat')",0.0
"('SoFaygo', 'Yeat')",0.0
"('KA$HDAMI', 'Yeat')",0.0
"('SSGKobe', 'Yeat')",0.0
"('Sided', 'Yeat')",0.0
"('Blueface', 'DaBaby')",0.0
"('YNW Melly', 'DaBaby')",0.0
"('Roddy Ricch', 'DaBaby')",6.0
"('Lil Tecca', 'DaBaby')",0.0
"('Quando Rondo', 'DaBaby')",0.0
"('Lil Mosey', 'DaBaby')",0.0
"('YoungBoy Never Broke Again', 'DaBaby')",28.0
"('Tee Grizzley', 'DaBaby')",0.0
"('Cordae', 'DaBaby')",0.0
"('Moneybagg Yo', 'DaBaby')",2.0
"('Rich The Kid', 'DaBaby')",2.0
"('Quavo', 'DaBaby')",4.0
"('Kodak Black', 'DaBaby')",0.0
"('Gunna', 'DaBaby')",2.0
"('Flipp Dinero', 'DaBaby')",0.0
"('YBN Nahmir', 'DaBaby')",0.0
"('NAV', 'DaBaby')",0.0
"('Comethazine', 'DaBaby')",0.0
"('BlocBoy JB', 'DaBaby')",0.0
"('SleazyWorld Go', 'DaBaby')",0.0
"('Oliver Francis', 'Yung Pinch')",0.0
"('Global Dan', 'Yung Pinch')",0.0
"('Lil Gnar', 'Yung Pinch')",0.0
"('Kid Trunks', 'Yung Pinch')",0.0
"('Lil Xan', 'Yung Pinch')",0.0
"('Fat Nick', 'Yung Pinch')",0.0
"('Nebu Kiniza', 'Yung Pinch')",0.0
"('Landon Cube', 'Yung Pinch')",0.0
"('Flipp Dinero', 'Yung Pinch')",0.0
"('Yung Bans', 'Yung Pinch')",0.0
"('Tyla Yaweh', 'Yung Pinch')",0.0
"('Almighty Jay', 'Yung Pinch')",0.0
"('Danger Incorporated', 'Yung Pinch')",0.0
"('88GLAM', 'Yung Pinch')",0.0
"('Paris Shadows', 'Yung Pinch')",0.0
"('6 Dogs', 'Yung Pinch')",0.0
"('COTIS', 'Yung Pinch')",0.0
"('Unodavid', 'Yung Pinch')",0.0
"('Yung Tory', 'Yung Pinch')",0.0
"('nothing,nowhere.', 'Yung Pinch')",0.0
"('Desiigner', 'Rae Sremmurd')",0.0
"('Swae Lee', 'Rae Sremmurd')",54.0
"('A$AP Ferg', 'Rae Sremmurd')",0.0
"('Huncho Jack', 'Rae Sremmurd')",0.0
"('Quality Control', 'Rae Sremmurd')",0.0
"('Mike WiLL Made-It', 'Rae Sremmurd')",0.0
"('A$AP Mob', 'Rae Sremmurd')",0.0
"('Migos', 'Rae Sremmurd')",0.0
"('Quavo', 'Rae Sremmurd')",0.0
"('Young Thug', 'Rae Sremmurd')",4.0
"('Famous Dex', 'Rae Sremmurd')",0.0
"('Rich The Kid', 'Rae Sremmurd')",0.0
"('Lil Yachty', 'Rae Sremmurd')",0.0
"('PnB Rock', 'Rae Sremmurd')",0.0
"('Fetty Wap', 'Rae Sremmurd')",0.0
"('88GLAM', 'Rae Sremmurd')",0.0
"('MadeinTYO', 'Rae Sremmurd')",0.0
"('YG', 'Rae Sremmurd')",0.0
"('YBN Nahmir', 'Rae Sremmurd')",0.0
"('Metro Boomin', 'Rae Sremmurd')",0.0
"('Quality Control', 'Huncho Jack')",0.0
"('Desiigner', 'Huncho Jack')",0.0
"('Quavo', 'Huncho Jack')",13.0
"('A$AP Ferg', 'Huncho Jack')",0.0
"('A$AP Mob', 'Huncho Jack')",0.0
"('Mike WiLL Made-It', 'Huncho Jack')",0.0
"('Sheck Wes', 'Huncho Jack')",0.0
"('Lil Yachty', 'Huncho Jack')",0.0
"('88GLAM', 'Huncho Jack')",0.0
"('Rich The Kid', 'Huncho Jack')",0.0
"('Rae Sremmurd', 'Huncho Jack')",0.0
